image,caption,id
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,1
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,2
coffee machine.jpg,coffee machine,3
Damro tea.jpg,Damro tea,4
Roomba_805_charging dock.jpg,Roomba_805_charging dock,5
television maker.jpg,television maker,6
Vacuum Cleaner.JPG,Vacuum Cleaner,7
Washing Machine.jpg,Washing Machine,8
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,9
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,10
coffee machine.jpg,coffee machine,11
Damro tea.jpg,Damro tea,12
Roomba_805_charging dock.jpg,Roomba_805_charging dock,13
television maker.jpg,television maker,14
Vacuum Cleaner.JPG,Vacuum Cleaner,15
Washing Machine.jpg,Washing Machine,16
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,17
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,18
coffee machine.jpg,coffee machine,19
Damro tea.jpg,Damro tea,20
Roomba_805_charging dock.jpg,Roomba_805_charging dock,21
television maker.jpg,television maker,22
Vacuum Cleaner.JPG,Vacuum Cleaner,23
Washing Machine.jpg,Washing Machine,24
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,25
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,26
coffee machine.jpg,coffee machine,27
Damro tea.jpg,Damro tea,28
Roomba_805_charging dock.jpg,Roomba_805_charging dock,29
television maker.jpg,television maker,30
Vacuum Cleaner.JPG,Vacuum Cleaner,31
Washing Machine.jpg,Washing Machine,32
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,33
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,34
coffee machine.jpg,coffee machine,35
Damro tea.jpg,Damro tea,36
Roomba_805_charging dock.jpg,Roomba_805_charging dock,37
television maker.jpg,television maker,38
Vacuum Cleaner.JPG,Vacuum Cleaner,39
Washing Machine.jpg,Washing Machine,40
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,41
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,42
coffee machine.jpg,coffee machine,43
Damro tea.jpg,Damro tea,44
Roomba_805_charging dock.jpg,Roomba_805_charging dock,45
television maker.jpg,television maker,46
Vacuum Cleaner.JPG,Vacuum Cleaner,47
Washing Machine.jpg,Washing Machine,48
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,49
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,50
coffee machine.jpg,coffee machine,51
Damro tea.jpg,Damro tea,52
Roomba_805_charging dock.jpg,Roomba_805_charging dock,53
television maker.jpg,television maker,54
Vacuum Cleaner.JPG,Vacuum Cleaner,55
Washing Machine.jpg,Washing Machine,56
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,57
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,58
coffee machine.jpg,coffee machine,59
Damro tea.jpg,Damro tea,60
Roomba_805_charging dock.jpg,Roomba_805_charging dock,61
television maker.jpg,television maker,62
Vacuum Cleaner.JPG,Vacuum Cleaner,63
Washing Machine.jpg,Washing Machine,64
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,65
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,66
coffee machine.jpg,coffee machine,67
Damro tea.jpg,Damro tea,68
Roomba_805_charging dock.jpg,Roomba_805_charging dock,69
television maker.jpg,television maker,70
Vacuum Cleaner.JPG,Vacuum Cleaner,71
Washing Machine.jpg,Washing Machine,72
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,73
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,74
coffee machine.jpg,coffee machine,75
Damro tea.jpg,Damro tea,76
Roomba_805_charging dock.jpg,Roomba_805_charging dock,77
television maker.jpg,television maker,78
Vacuum Cleaner.JPG,Vacuum Cleaner,79
Washing Machine.jpg,Washing Machine,80
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,81
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,82
coffee machine.jpg,coffee machine,83
Damro tea.jpg,Damro tea,84
Roomba_805_charging dock.jpg,Roomba_805_charging dock,85
television maker.jpg,television maker,86
Vacuum Cleaner.JPG,Vacuum Cleaner,87
Washing Machine.jpg,Washing Machine,88
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,89
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,90
coffee machine.jpg,coffee machine,91
Damro tea.jpg,Damro tea,92
Roomba_805_charging dock.jpg,Roomba_805_charging dock,93
television maker.jpg,television maker,94
Vacuum Cleaner.JPG,Vacuum Cleaner,95
Washing Machine.jpg,Washing Machine,96
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,97
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,98
coffee machine.jpg,coffee machine,99
Damro tea.jpg,Damro tea,100
Roomba_805_charging dock.jpg,Roomba_805_charging dock,101
television maker.jpg,television maker,102
Vacuum Cleaner.JPG,Vacuum Cleaner,103
Washing Machine.jpg,Washing Machine,104
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,105
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,106
coffee machine.jpg,coffee machine,107
Damro tea.jpg,Damro tea,108
Roomba_805_charging dock.jpg,Roomba_805_charging dock,109
television maker.jpg,television maker,110
Vacuum Cleaner.JPG,Vacuum Cleaner,111
Washing Machine.jpg,Washing Machine,112
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,113
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,114
coffee machine.jpg,coffee machine,115
Damro tea.jpg,Damro tea,116
Roomba_805_charging dock.jpg,Roomba_805_charging dock,117
television maker.jpg,television maker,118
Vacuum Cleaner.JPG,Vacuum Cleaner,119
Washing Machine.jpg,Washing Machine,120
